Latitude,Longitude
40.76443505437927,-73.96587545335134
40.64571710523841,-73.78447570758313
40.739640067172836,-73.98641937300059
40.76936684408696,-73.86303576350404
40.72254568549799,-73.99648749827433
40.78153285678774,-73.97861348008081
40.78290220478243,-73.9538667204221
40.75011933632433,-73.99293049232901
40.65607125180034,-73.98120069190762
40.752561712708705,-73.97655586610568
40.74845972386104,-73.93312252935449
40.81939260083575,-73.95007931731467
40.77197730649997,-73.98406498224054
40.74364731284262,-74.00452249267616
40.713363817698976,-74.01320502771198
40.774725437865584,-73.96110436497413
40.69013289117292,-73.92745361403888
40.80245501402713,-73.96380373036347
40.696423142581835,-74.14872112201647
40.729866036322505,-73.98200242787432
40.76344531020158,-73.98253387804037
40.73206909679953,-74.00285273260685
40.731412716204105,-73.99085399115943
40.773914701743024,-73.87345994243657
40.790968961061864,-73.97142626111776
40.775569609101346,-73.94991893637703
40.70727530097653,-73.81558917523203
40.682466620031214,-73.9711161184531
40.79904327562702,-73.94157626435491
40.76577942093692,-73.92074178059896
40.76178112148346,-73.97465358429095
40.70627494020398,-74.00929781800258
40.74100055125537,-73.99498387814235
40.75751179288623,-73.98763338537242
40.75636478470446,-73.96828437351202
40.76082497306617,-73.9962718802784
40.8468110490897,-73.92771974765697
40.71536944134695,-73.95482501154777
40.74329736814468,-73.97755801542667
40.767264684282004,-73.95626557450008
40.720770435305184,-73.98766760996465
40.72060325175016,-74.00598669158227
40.69058442075396,-73.99082929028555
40.74787653600731,-73.98524403025102
40.74372918739261,-73.88959419204319
